2023-08-07 19:20:12,441 DEBUG epoch:9, knn_val_accu: 48.99, contrast_loss: 8.84, contrast_acc: 30.90
2023-08-07 19:20:13,900 DEBUG epoch:9, knn_val_accu: 48.99, contrast_loss: 8.84, contrast_acc: 30.90
2023-08-07 19:21:28,232 DEBUG epoch:10, knn_val_accu: 49.48, contrast_loss: 8.82, contrast_acc: 31.47
2023-08-07 19:21:28,745 DEBUG epoch:10, knn_val_accu: 49.48, contrast_loss: 8.82, contrast_acc: 31.47
2023-08-07 19:21:30,136 DEBUG epoch:10, knn_val_accu: 49.48, contrast_loss: 8.82, contrast_acc: 31.47
2023-08-07 19:22:44,650 DEBUG epoch:11, knn_val_accu: 50.59, contrast_loss: 8.82, contrast_acc: 32.25
2023-08-07 19:22:44,954 DEBUG epoch:11, knn_val_accu: 50.59, contrast_loss: 8.82, contrast_acc: 32.25
2023-08-07 19:22:46,314 DEBUG epoch:11, knn_val_accu: 50.59, contrast_loss: 8.82, contrast_acc: 32.25
2023-08-07 19:24:01,124 DEBUG epoch:12, knn_val_accu: 51.43, contrast_loss: 8.81, contrast_acc: 32.71
2023-08-07 19:24:01,533 DEBUG epoch:12, knn_val_accu: 51.43, contrast_loss: 8.81, contrast_acc: 32.71
2023-08-07 19:24:03,190 DEBUG epoch:12, knn_val_accu: 51.43, contrast_loss: 8.81, contrast_acc: 32.71
2023-08-07 19:25:16,890 DEBUG epoch:13, knn_val_accu: 51.72, contrast_loss: 8.80, contrast_acc: 32.93
2023-08-07 19:25:17,269 DEBUG epoch:13, knn_val_accu: 51.72, contrast_loss: 8.80, contrast_acc: 32.93
2023-08-07 19:25:18,905 DEBUG epoch:13, knn_val_accu: 51.72, contrast_loss: 8.80, contrast_acc: 32.93
2023-08-07 19:26:37,183 DEBUG epoch:14, knn_val_accu: 53.02, contrast_loss: 8.80, contrast_acc: 33.54
2023-08-07 19:26:37,200 DEBUG epoch:14, knn_val_accu: 53.02, contrast_loss: 8.80, contrast_acc: 33.54
2023-08-07 19:26:39,330 DEBUG epoch:14, knn_val_accu: 53.02, contrast_loss: 8.80, contrast_acc: 33.54
2023-08-07 19:27:57,283 DEBUG epoch:15, knn_val_accu: 54.08, contrast_loss: 8.79, contrast_acc: 33.86
2023-08-07 19:27:57,623 DEBUG epoch:15, knn_val_accu: 54.08, contrast_loss: 8.79, contrast_acc: 33.86
2023-08-07 19:27:59,510 DEBUG epoch:15, knn_val_accu: 54.08, contrast_loss: 8.79, contrast_acc: 33.86
2023-08-07 19:29:16,689 DEBUG epoch:16, knn_val_accu: 54.75, contrast_loss: 8.79, contrast_acc: 34.27
2023-08-07 19:29:16,961 DEBUG epoch:16, knn_val_accu: 54.75, contrast_loss: 8.79, contrast_acc: 34.27
2023-08-07 19:29:19,080 DEBUG epoch:16, knn_val_accu: 54.75, contrast_loss: 8.79, contrast_acc: 34.27
2023-08-07 19:30:36,034 DEBUG epoch:17, knn_val_accu: 55.90, contrast_loss: 8.78, contrast_acc: 34.69
2023-08-07 19:30:36,331 DEBUG epoch:17, knn_val_accu: 55.90, contrast_loss: 8.78, contrast_acc: 34.69
2023-08-07 19:30:38,312 DEBUG epoch:17, knn_val_accu: 55.90, contrast_loss: 8.78, contrast_acc: 34.69
2023-08-07 19:31:55,730 DEBUG epoch:18, knn_val_accu: 55.71, contrast_loss: 8.78, contrast_acc: 33.84
2023-08-07 19:31:55,882 DEBUG epoch:18, knn_val_accu: 55.71, contrast_loss: 8.78, contrast_acc: 33.84
2023-08-07 19:31:57,986 DEBUG epoch:18, knn_val_accu: 55.71, contrast_loss: 8.78, contrast_acc: 33.84
2023-08-07 19:33:14,097 DEBUG epoch:19, knn_val_accu: 56.37, contrast_loss: 8.77, contrast_acc: 35.13
2023-08-07 19:33:14,379 DEBUG epoch:19, knn_val_accu: 56.37, contrast_loss: 8.77, contrast_acc: 35.13
2023-08-07 19:33:16,528 DEBUG epoch:19, knn_val_accu: 56.37, contrast_loss: 8.77, contrast_acc: 35.13
2023-08-07 19:34:34,261 DEBUG epoch:20, knn_val_accu: 57.15, contrast_loss: 8.78, contrast_acc: 34.16
2023-08-07 19:34:34,324 DEBUG epoch:20, knn_val_accu: 57.15, contrast_loss: 8.78, contrast_acc: 34.16
2023-08-07 19:34:36,809 DEBUG epoch:20, knn_val_accu: 57.15, contrast_loss: 8.78, contrast_acc: 34.16
2023-08-07 19:35:54,285 DEBUG epoch:21, knn_val_accu: 56.19, contrast_loss: 8.77, contrast_acc: 34.40
2023-08-07 19:35:54,658 DEBUG epoch:21, knn_val_accu: 56.19, contrast_loss: 8.77, contrast_acc: 34.40
2023-08-07 19:35:56,245 DEBUG epoch:21, knn_val_accu: 56.19, contrast_loss: 8.77, contrast_acc: 34.40
2023-08-07 19:37:13,674 DEBUG epoch:22, knn_val_accu: 58.13, contrast_loss: 8.76, contrast_acc: 34.61
2023-08-07 19:37:13,988 DEBUG epoch:22, knn_val_accu: 58.13, contrast_loss: 8.76, contrast_acc: 34.61
2023-08-07 19:37:15,734 DEBUG epoch:22, knn_val_accu: 58.13, contrast_loss: 8.76, contrast_acc: 34.61
2023-08-07 19:38:32,173 DEBUG epoch:23, knn_val_accu: 59.16, contrast_loss: 8.77, contrast_acc: 34.21
2023-08-07 19:38:32,427 DEBUG epoch:23, knn_val_accu: 59.16, contrast_loss: 8.77, contrast_acc: 34.21
2023-08-07 19:38:34,500 DEBUG epoch:23, knn_val_accu: 59.16, contrast_loss: 8.77, contrast_acc: 34.21
2023-08-07 19:39:49,844 DEBUG epoch:24, knn_val_accu: 58.51, contrast_loss: 8.76, contrast_acc: 34.96
2023-08-07 19:39:49,904 DEBUG epoch:24, knn_val_accu: 58.51, contrast_loss: 8.76, contrast_acc: 34.96
2023-08-07 19:39:51,860 DEBUG epoch:24, knn_val_accu: 58.51, contrast_loss: 8.76, contrast_acc: 34.96
2023-08-07 19:41:08,372 DEBUG epoch:25, knn_val_accu: 59.03, contrast_loss: 8.76, contrast_acc: 34.60
2023-08-07 19:41:08,455 DEBUG epoch:25, knn_val_accu: 59.03, contrast_loss: 8.76, contrast_acc: 34.60
2023-08-07 19:41:10,672 DEBUG epoch:25, knn_val_accu: 59.03, contrast_loss: 8.76, contrast_acc: 34.60
2023-08-07 19:42:26,968 DEBUG epoch:26, knn_val_accu: 59.35, contrast_loss: 8.76, contrast_acc: 35.11
2023-08-07 19:42:27,250 DEBUG epoch:26, knn_val_accu: 59.35, contrast_loss: 8.76, contrast_acc: 35.11
2023-08-07 19:42:28,853 DEBUG epoch:26, knn_val_accu: 59.35, contrast_loss: 8.76, contrast_acc: 35.11
2023-08-07 19:43:43,884 DEBUG epoch:27, knn_val_accu: 59.39, contrast_loss: 8.75, contrast_acc: 34.58
2023-08-07 19:43:44,155 DEBUG epoch:27, knn_val_accu: 59.39, contrast_loss: 8.75, contrast_acc: 34.58
2023-08-07 19:43:45,966 DEBUG epoch:27, knn_val_accu: 59.39, contrast_loss: 8.75, contrast_acc: 34.58
2023-08-07 19:45:03,823 DEBUG epoch:28, knn_val_accu: 59.75, contrast_loss: 8.76, contrast_acc: 34.51
2023-08-07 19:45:03,858 DEBUG epoch:28, knn_val_accu: 59.75, contrast_loss: 8.76, contrast_acc: 34.51
2023-08-07 19:45:05,693 DEBUG epoch:28, knn_val_accu: 59.75, contrast_loss: 8.76, contrast_acc: 34.51
